"ID Produto";"Codigo produto";"GTIN";"Descrição Produto";"Depósito";"Balanço";"Preço Unitário";"Preço de Custo";"Observação";"Data"
"16448925619";"16448925619	";"";"ALPARGATA COM CADARÇO COR:BRANCO;TAMANHO:39";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448925620";"16448925620	";"";"ALPARGATA COM CADARÇO COR:BRANCO;TAMANHO:40";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448925621";"16448925621	";"";"ALPARGATA COM CADARÇO COR:BRANCO;TAMANHO:41";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448925622";"16448925622	";"";"ALPARGATA COM CADARÇO COR:BRANCO;TAMANHO:45";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448925624";"16448925624	";"";"ALPARGATA COM CADARÇO COR:PRETO;TAMANHO:33";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448925625";"16448925625	";"";"ALPARGATA COM CADARÇO COR:PRETO;TAMANHO:34";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448925627";"16448925627	";"";"ALPARGATA COM CADARÇO COR:PRETO;TAMANHO:35";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448925628";"16448925628	";"";"ALPARGATA COM CADARÇO COR:PRETO;TAMANHO:36";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448925629";"16448925629	";"";"ALPARGATA COM CADARÇO COR:PRETO;TAMANHO:37";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448925630";"16448925630	";"";"ALPARGATA COM CADARÇO COR:PRETO;TAMANHO:38";"Fábrica Panambi";"1,0000000000";"0,0000000000";"0,0000000000";""
"16448925631";"16448925631	";"";"ALPARGATA COM CADARÇO COR:PRETO;TAMANHO:39";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448925634";"16448925634	";"";"ALPARGATA COM CADARÇO COR:PRETO;TAMANHO:40";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448925637";"16448925637	";"";"ALPARGATA COM CADARÇO COR:PRETO;TAMANHO:41";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448925639";"16448925639	";"";"ALPARGATA COM CADARÇO COR:PRETO;TAMANHO:45";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16586863570";"16456273498	";"";"ALPARGATA CORDA";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448946264";"16448946264	";"";"ALPARGATA COURO COR:NOBUCK;TAMANHO:33";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448946265";"16448946265	";"";"ALPARGATA COURO COR:NOBUCK;TAMANHO:34";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448946266";"16448946266	";"";"ALPARGATA COURO COR:NOBUCK;TAMANHO:35";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448946268";"16448946268	";"";"ALPARGATA COURO COR:NOBUCK;TAMANHO:36";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448946270";"16448946270	";"";"ALPARGATA COURO COR:NOBUCK;TAMANHO:37";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448946271";"16448946271	";"";"ALPARGATA COURO COR:NOBUCK;TAMANHO:38";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448946272";"16448946272	";"";"ALPARGATA COURO COR:NOBUCK;TAMANHO:39";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448946274";"16448946274	";"";"ALPARGATA COURO COR:NOBUCK;TAMANHO:40";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448946275";"16448946275	";"";"ALPARGATA COURO COR:NOBUCK;TAMANHO:41";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448946276";"16448946276	";"";"ALPARGATA COURO COR:NOBUCK;TAMANHO:42";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
